amm usages
1000011 Matiere_Fertilisante
1000012 Engrais_solution_pour_apport_au_sol
1000021 Matiere_Fertilisante
1000022 Matiere_Fertilisante
1000030 Matiere_Fertilisante
1000031 Engrais_mineral_basique
1000032 Matiere_Fertilisante
1000036 Matiere_Fertilisante
1000037 Matiere_Fertilisante_|_Stimulateur_de_croissance_des_plantes
1000039 Matiere_Fertilisante
1000040 Matiere_Fertilisante
1000041 Non_precise
1000042 Engrais_pour_pulverisation_foliaire
1000045 Matiere_Fertilisante
1000046 Matiere_Fertilisante
1000047 Matiere_Fertilisante
1000048 Matiere_Fertilisante
1000051 Matiere_Fertilisante
1000052 Matiere_Fertilisante
1000053 Amendement_mineral_basique
1000057 Matiere_Fertilisante
1010001 Engrais_pour_apport_au_sol
1010009 Retenteur_d'eau
1010010 Retenteur_d'eau
1010011 Matiere_Fertilisante
1020002 Preparation_bacterienne
1020004 Matiere_Fertilisante
1020021 Matiere_Fertilisante_|_Preparation_bacterienne
1020022 Preparation_bacterienne
1030003 additif_agronomique_|_Matiere_Fertilisante
1030005 Matiere_Fertilisante
1060004 Matiere_Fertilisante
1080002 additif_agronomique_|_Matiere_Fertilisante
1080007 Engrais_apportant_du_calcium_|_Engrais_apportant_du_soufre
1080008 Amendement_organique_avec_engrais
1080010 Matiere_Fertilisante
1090003 Conditionneur_de_sol
1090004 Conditionneur_de_sol
1100005 Matiere_Fertilisante
1100006 Matiere_Fertilisante
1100008 Matiere_Fertilisante
1100009 Matiere_Fertilisante
1100010 Matiere_Fertilisante
1100011 Engrais_P
1110003 Engrais
1110004 Engrais_NP_d'origine_organo-mineral
1110005 Matiere_Fertilisante
1110006 Matiere_Fertilisante
1110007 Amendement_basique
1110008 Conditionneur_de_sol
1110009 Amendement_organo-mineral
1110010 Amendement_-_Engrais
1110012 Conditionneur_de_sol
1110013 Matiere_Fertilisante
1110014 Matiere_Fertilisante
1112012 Retenteur_d'eau
1120000 Matiere_Fertilisante
1120001 Amendement_-_Engrais
1120002 Engrais_NP_+_S
1120003 Matiere_Fertilisante
1120004 Retenteur_d'eau
1120007 Matiere_Fertilisante_|_Stimulateur_de_croissance_des_plantes
1120008 Amendement_-_Engrais
1120009 Amendement_mineral_basique
1120010 Amendement_mineral_basique
1130001 Matiere_Fertilisante
1130004 Matiere_Fertilisante
1130007 Matiere_Fertilisante
1130009 Matiere_Fertilisante
1130010 Matiere_Fertilisante
1130011 Retenteur_d'eau
1130012 Matiere_Fertilisante
1130013 Amendement_-_Engrais
1130014 Matiere_Fertilisante
1140001 Stimulateur_de_croissance_des_plantes
1140002 Stimulateur_de_croissance_des_plantes
1140003 Stimulateur_de_l'activite_microbienne_du_sol
1140004 Matiere_Fertilisante_|_Stimulateur_de_croissance_des_plantes
1140005 Amendement_mineral_basique
1140006 Amendement_mineral_basique
1140007 Stimulateur_de_croissance_des_plantes
1140008 Stimulateur_de_l'activite_microbienne_du_sol
"1140009 ""Engrais_foliaire_Fe _Mn"""
1140010 Engrais_composes_|_Matiere_Fertilisante
1140011 Stimulateur_de_croissance_des_plantes
1140012 Stimulateur_de_croissance_des_plantes
1140015 Preparation_fongique
1150001 Stimulateur_de_croissance_des_plantes
1150002 Matiere_Fertilisante
1150003 Retenteur_d'eau
1150004 Engrais_mineral_PK
1150005 Engrais_mineral_PK
1150006 Engrais_mineral_PK
1150007 Preparation_fongique
1150008 Amendement_mineral_basique
1150009 Matiere_Fertilisante
1150010 Amendement_organique
1150011 Matiere_Fertilisante
1150012 Matiere_Fertilisante
1150013 Engrais_organo-mineraux
1150014 Preparation_bacterienne
1150015 Matiere_Fertilisante
1150016 Matiere_Fertilisante
1150017 Stimulateur_de_croissance_des_plantes
1150018 Preparation_bacterienne
1150019 Preparation_bacterienne
1150020 additif_agronomique
1150021 Engrais_P
1150022 Matiere_Fertilisante
1150023 Preparation_fongique_en_suspension
1150024 Amendement_mineral_basique
1160001 Amendement_mineral_basique
1160002 additif_agronomique
1160003 Matiere_Fertilisante
1160004 Retenteur_d'eau
1160005 Matiere_Fertilisante
1160006 Matiere_Fertilisante
1160007 Matiere_Fertilisante
1160008 Matiere_Fertilisante
1160009 Preparation_bacterienne
1160067 Engrais
1160068 Matiere_Fertilisante
1160069 Matiere_Fertilisante
1160070 Matiere_Fertilisante
1160071 Matiere_Fertilisante
1160072 Matiere_Fertilisante
1160073 Matiere_Fertilisante
1160074 Matiere_Fertilisante
1160075 Matiere_Fertilisante
1160076 Matiere_Fertilisante
1160077 Matiere_Fertilisante
1160078 Matiere_Fertilisante
1160079 Matiere_Fertilisante
1160080 additif_agronomique
1170009 Engrais
1170050 Matiere_Fertilisante
1170074 Matiere_Fertilisante
1170075 Matiere_Fertilisante
1170078 Non_precise
1170179 Engrais_organiques_azotes
1170212 Matiere_Fertilisante
1170213 Matiere_Fertilisante
1170247 Matiere_Fertilisante
1170248 Matiere_Fertilisante
1170265 Matiere_Fertilisante
1170318 Stimulateur_de_croissance_des_plantes
1170329 additif_agronomique
1170375 Preparation_fongique
1170376 Preparation_fongique
1170377 Preparation_fongique
1170378 Preparation_fongique
1170379 Preparation_fongique
1170380 Preparation_fongique
1170409 Preparation_bacterienne
1170482 Matiere_Fertilisante
1170589 Matiere_Fertilisante
1170597 Retenteur_d'eau
1170605 Matiere_Fertilisante
1170606 Matiere_Fertilisante
1170607 Matiere_Fertilisante
1170608 Preparation_bacterienne
1170609 Preparation_bacterienne
1170610 Preparation_bacterienne
1170611 Preparation_bacterienne
1170612 Matiere_Fertilisante
1170613 Matiere_Fertilisante
1170614 Matiere_Fertilisante
1170615 Matiere_Fertilisante
1170616 Matiere_Fertilisante
1170689 Matiere_Fertilisante
1170710 Matiere_Fertilisante
1171088 Preparation_fongique
1171104 Amendement_mineral_basique
1171131 Matiere_Fertilisante
1171275 Preparation_bacterienne
1171276 Matiere_Fertilisante
1171277 Matiere_Fertilisante
1171278 Matiere_Fertilisante
1171279 Matiere_Fertilisante
1171280 Matiere_Fertilisante
1171281 Matiere_Fertilisante
1171282 Matiere_Fertilisante
1171283 Matiere_Fertilisante
1171284 Matiere_Fertilisante
1171285 Matiere_Fertilisante
1171286 Matiere_Fertilisante
1171287 Matiere_Fertilisante
1171288 Matiere_Fertilisante
1171289 Matiere_Fertilisante
1171290 Matiere_Fertilisante
1171291 Matiere_Fertilisante
1171292 Matiere_Fertilisante
1171293 Matiere_Fertilisante
1171294 Matiere_Fertilisante
1171295 Matiere_Fertilisante
1171296 Matiere_Fertilisante
1171297 Matiere_Fertilisante
1171298 Matiere_Fertilisante
1171299 Matiere_Fertilisante
1171300 Matiere_Fertilisante
1171301 Preparation_bacterienne
1171302 Matiere_Fertilisante
1171304 Matiere_Fertilisante
1171305 Matiere_Fertilisante
1171327 Matiere_Fertilisante
1171342 Matiere_Fertilisante
1180003 Preparation_bacterienne
1180053 Matiere_Fertilisante
1180056 Matiere_Fertilisante
1180062 Matiere_Fertilisante
1180069 Matiere_Fertilisante
1180070 Matiere_Fertilisante
1180071 Engrais
1180072 Matiere_Fertilisante
1180073 Matiere_Fertilisante
1180074 Matiere_Fertilisante
1202005 Matiere_Fertilisante
1202006 Matiere_Fertilisante
1202007 Matiere_Fertilisante
1202008 Matiere_Fertilisante
1202009 Matiere_Fertilisante
1202010 Matiere_Fertilisante
1202011 Matiere_Fertilisante
1211001 Engrais
1211002 Engrais
1211003 Engrais_NPK_organo-mineral
1301001 Matiere_Fertilisante
1301002 Matiere_Fertilisante
1303001 additif_agronomique_|_Matiere_Fertilisante
1303002 Amendement_basique
1306001 Matiere_Fertilisante
1306002 Matiere_Fertilisante
1307001 Engrais_|_Matiere_Fertilisante
1308001 Matiere_Fertilisante
1308002 Matiere_Fertilisante
2000001 Herbicide
2000002 Insecticide
2000003 Herbicide
2000006 Insecticide
2000008 Non_precise
2000009 Herbicide
2000010 Herbicide
2000011 Herbicide
2000012 Herbicide
2000013 Insecticide
2000014 Insecticide
2000015 Herbicide
2000016 Fongicide
2000017 Insecticide
2000018 Fongicide
2000020 Herbicide
2000021 Herbicide
2000025 Insecticide
2000026 Fongicide
2000027 Herbicide
2000028 Herbicide
2000029 Herbicide
2000030 Herbicide
2000031 Herbicide
2000032 Herbicide
2000033 Herbicide
2000034 Herbicide
2000035 Acaricide
2000037 Insecticide
2000038 Herbicide
2000040 Herbicide
2000041 Molluscicide
2000042 Insecticide
2000044 Herbicide
2000045 Non_precise
2000046 Herbicide
2000047 Adjuvant
2000051 Herbicide
2000052 Herbicide
2000071 Herbicide
2000073 Insecticide
2000079 Insecticide
2000080 Herbicide
2000081 Herbicide
2000082 Devitalisation_|_Herbicide
2000083 Fongicide
2000084 Fongicide
2000085 Herbicide
2000086 Insecticide
2000087 Fongicide
2000088 Herbicide
2000089 Fongicide
2000091 Fongicide
2000092 Fongicide
2000095 Herbicide
2000097 Molluscicide
2000098 Herbicide
2000099 Substance_de_croissance
2000100 Substance_de_croissance
2000101 Regulateur_de_croissance
2000105 Insecticide
2000109 Herbicide
2000110 Herbicide
2000111 Herbicide
2000113 Herbicide
2000121 Herbicide
2000122 Fongicide
2000124 Insecticide
2000125 Fongicide
2000128 Herbicide
2000129 Fongicide
2000131 Adjuvant
2000135 Fongicide
2000136 Molluscicide
2000146 Herbicide
2000147 Herbicide
2000148 Herbicide
2000149 Adjuvant
2000150 Herbicide
2000151 Herbicide
2000160 Fongicide
2000165 Herbicide
2000166 Fongicide
2000174 Substance_de_croissance
2000191 Insecticide
2000193 Fongicide
2000194 Fongicide
2000195 Fongicide
2000196 Fongicide
2000201 Fongicide
2000202 Herbicide
2000205 Herbicide
2000206 Herbicide
2000207 Fongicide
2000208 Herbicide
2000209 Herbicide
2000210 Fongicide
2000211 Acaricide_|_Fongicide
2000213 Insecticide
2000214 Insecticide
2000216 Herbicide
2000217 Fongicide
2000218 Herbicide
2000219 Substance_de_croissance
2000220 Substance_de_croissance
2000222 Fongicide
2000223 Herbicide
2000226 Insecticide
2000227 Herbicide
2000228 Molluscicide
2000229 Herbicide
2000231 Fongicide
2000235 Adjuvant
2000236 Insecticide
2000241 Herbicide_|_Non_precise
2000243 Insecticide
2000253 Molluscicide
2000254 Herbicide
2000255 Herbicide
2000294 Fongicide
2000295 Adjuvant
2000299 Herbicide
2000300 Insecticide
2000301 Herbicide
2000305 Devitalisation_|_Herbicide
2000306 Herbicide
2000307 Herbicide
2000316 Insecticide
2000321 Fongicide
2000324 Insecticide
2000325 Fongicide
2000327 Devitalisation_|_Herbicide
2000328 Adjuvant
2000330 Fongicide
2000331 Fongicide
2000332 Fongicide
2000333 Fongicide
2000335 Fongicide
2000336 Fongicide
2000338 Fongicide
2000339 Herbicide
2000341 Herbicide
2000342 Fongicide
2000358 Fongicide
2000359 Herbicide
2000360 Non_precise
2000361 Fongicide
2000362 Molluscicide
2000363 Fongicide
2000364 Taupicide
2000365 Fongicide
2000366 Fongicide
2000367 Adjuvant
2000369 Herbicide
2000372 Fongicide
2000373 Herbicide
2000374 Herbicide
2000375 Fongicide
2000376 Fongicide
2000377 Insecticide
2000378 Molluscicide
2000379 Herbicide
2000380 Herbicide
2000381 Fongicide
2000382 Herbicide
2000383 Herbicide
2000384 Fongicide
2000385 Devitalisation
2000386 Engrais_|_Herbicide
2000387 Herbicide_|_Non_precise
2000388 Herbicide
2000390 Engrais_|_Herbicide
2000391 Devitalisation_|_Herbicide
2000392 Fongicide
2000393 Insecticide
2000394 Herbicide
2000395 Insecticide
2000396 Herbicide
2000397 Non_precise
2000398 Herbicide
2000399 Herbicide
2000402 Herbicide
2000403 Adjuvant_|_Herbicide
2000404 Adjuvant
2000405 Herbicide
2000406 Non_precise
2000407 Herbicide
2000408 Herbicide
2000409 Devitalisation_|_Herbicide
2000410 Herbicide
2000411 Devitalisation_|_Herbicide
2000412 Herbicide
2000413 Herbicide
2000414 Herbicide
2000415 Herbicide
2000416 Insecticide
2000417 Herbicide
2000418 Herbicide
2000419 Herbicide
2000420 Fongicide
2000421 Fongicide
2000422 Insecticide
2000423 Herbicide
2000424 Herbicide
2000425 Insecticide
2000426 Insecticide
2000427 Fongicide
2000428 Fongicide
2000429 Non_precise
2000430 Insecticide
2000431 Non_precise
2000432 Insecticide
2000433 Herbicide
2000434 Herbicide
2000435 Herbicide
2000436 Insecticide
2000437 Insecticide
2000438 Herbicide
2000440 Rodenticide
2000442 Fongicide
2000443 Non_precise_|_Substance_de_croissance
2000447 Herbicide
2000448 Herbicide
2000449 Non_precise
2000450 Fongicide
2000451 Fongicide
2000452 Insecticide
2000453 Herbicide
2000454 Herbicide
2000455 Herbicide
2000456 Herbicide
2000457 Herbicide
2000458 Herbicide
2000459 Substance_de_croissance
2000460 Herbicide
2000461 Fongicide
2000466 Non_precise
2000480 Non_precise
2000481 Herbicide
2000497 Fongicide
2000498 Fongicide
2000499 Herbicide
2000500 Herbicide
2000501 Herbicide
2000502 Non_precise
2000503 Herbicide
2000504 Herbicide
2000505 Herbicide
2000506 Herbicide
2000507 Herbicide
2000508 Herbicide
2000509 Fongicide
2000510 Engrais_anti-mousse_|_Non_precise
2000511 Non_precise
2000512 Herbicide
2000513 Herbicide
2000514 Herbicide
2000515 Herbicide
2000516 Herbicide
2000517 Fongicide
2000519 Herbicide
2000520 Insecticide
2000521 Molluscicide
2000522 Fongicide
2000523 Herbicide
2000524 Fongicide
2000525 Fongicide
2000534 Herbicide
2000536 Attractif_pheromone
2000538 Fongicide
2000541 Non_precise
2000563 Herbicide
2000567 Herbicide
2010009 Molluscicide
2010019 Herbicide
2010023 Insecticide
2010025 Herbicide
2010027 Acaricide
2010029 Fongicide
2010030 Substance_de_croissance
2010032 Insecticide
2010033 Insecticide
2010034 Insecticide
2010035 Herbicide
2010036 Fongicide
2010037 Herbicide
2010044 Non_precise
2010045 Non_precise
2010047 Herbicide
2010049 Herbicide
2010050 Herbicide
2010051 Herbicide
2010052 Herbicide
2010053 Fongicide
2010054 Herbicide
2010055 Herbicide
2010057 Fongicide
2010058 Fongicide
2010068 Insecticide
2010069 Fongicide
2010073 Insecticide
2010074 Insecticide
2010075 Insecticide
2010076 Insecticide
2010077 Insecticide
2010078 Insecticide
2010079 Fongicide_|_Insecticide
2010080 Insecticide
2010082 Insecticide
2010083 Insecticide
2010084 Non_precise
2010085 Insecticide
2010086 Insecticide
2010087 Insecticide
2010088 Insecticide
2010089 Fongicide_|_Insecticide
2010090 Fongicide
2010091 Insecticide
2010099 Insecticide
2010100 Insecticide
2010101 Fongicide
2010103 Fongicide
2010116 Substance_de_croissance
2010118 Fongicide
2010121 Insecticide_|_Non_precise
2010122 Herbicide
2010123 Herbicide
2010124 Insecticide_|_Non_precise
2010125 Insecticide_|_Non_precise
2010126 Insecticide_|_Non_precise
2010130 Fongicide
2010132 Insecticide
2010138 Herbicide
2010139 Herbicide
2010141 Herbicide
2010142 Molluscicide
2010143 Herbicide
2010147 Herbicide
2010148 Insecticide
2010149 Insecticide
2010150 Herbicide
2010151 Herbicide
2010153 Herbicide
2010156 Non_precise
2010157 Herbicide
2010158 Herbicide
2010159 Devitalisation
2010160 Insecticide
2010161 Herbicide
2010162 Herbicide
2010163 Herbicide
2010164 Herbicide
2010165 Herbicide
2010166 Fongicide
2010168 Non_precise
2010169 Herbicide
2010181 Substance_de_croissance
2010206 Insecticide
2010209 Fongicide
2010215 Non_precise
2010230 Herbicide
2010232 Non_precise
2010233 Molluscicide
2010234 Non_precise
2010238 Fongicide
2010239 Herbicide
2010240 Herbicide
2010261 Fongicide
2010262 Herbicide
2010272 Adjuvant
2010273 Molluscicide
2010274 Herbicide
2010275 Molluscicide
2010276 Herbicide
2010277 Fongicide
2010278 Fongicide
2010279 Non_precise
2010280 Fongicide_|_Regulateur_de_croissance
2010281 Herbicide
2010282 Insecticide
2010283 Fongicide
2010284 Herbicide
2010285 Herbicide
2010287 Fongicide
2010288 Fongicide
2010289 Substance_de_croissance
2010290 Herbicide
2010291 Insecticide
2010292 Herbicide
2010293 Insecticide
2010294 Herbicide
2010295 Insecticide
2010296 Herbicide
2010297 Herbicide
2010299 Herbicide
2010300 Fongicide
2010301 Herbicide
2010302 Herbicide
2010305 Adjuvant
2010306 Adjuvant
2010307 Fongicide
2010308 Herbicide
2010310 Herbicide
2010311 Fongicide
2010312 Insecticide
2010313 Acaricide
2010315 Herbicide
2010317 Molluscicide
2010318 Insecticide
2010319 Herbicide
2010321 Herbicide
2010322 Fongicide
2010323 Devitalisation
2010324 Molluscicide
2010325 Herbicide
2010326 Fongicide
2010327 Insecticide
2010328 Fongicide
2010330 Herbicide
2010332 Fongicide
2010333 Non_precise
2010334 Non_precise
2010335 Herbicide
2010336 Herbicide
2010337 Herbicide
2010338 Molluscicide
2010339 Herbicide
2010340 Insecticide
2010347 Herbicide_|_Non_precise
2010348 Herbicide
2010349 Herbicide
2010350 Herbicide
2010351 Herbicide
2010352 Insecticide
2010359 Non_precise
2010371 Herbicide
2010377 Insecticide
2010378 Herbicide
2010381 Molluscicide
2010398 Fongicide
2010410 Fongicide
2010411 Adjuvant
2010413 Herbicide
2010414 Herbicide
2010415 Herbicide
2010416 Herbicide
2010417 Herbicide
2010419 Herbicide
2010420 Herbicide
2010421 Non_precise
2010422 Non_precise
2010423 Non_precise
2010424 Non_precise
2010425 Herbicide
2010426 Insecticide
2010427 Herbicide
2010428 Adjuvant
2010429 Insecticide
2010430 Insecticide
2010432 Fongicide
2010433 Non_precise
2010434 Fongicide_|_Insecticide
2010435 Herbicide
2010436 Insecticide
2010437 Insecticide
2010438 Herbicide
2010439 Herbicide
2010440 Herbicide
2010441 Insecticide
2010472 Fongicide
2010475 Herbicide
2010476 Herbicide
2010477 Herbicide
2010478 Fongicide
2010479 Acaricide
2010480 Fongicide
2010481 Fongicide
2010482 Fongicide
2010483 Fongicide
2010484 Fongicide
2010485 Fongicide
2010486 Insecticide
2010487 Insecticide
2010488 Fongicide
2010489 Fongicide
2010490 Fongicide
2010493 Herbicide
2010494 Herbicide
2010495 Molluscicide
2010496 Herbicide
2010497 Herbicide
2010498 Fongicide
2010499 Fongicide
2010500 Insecticide
2010501 Insecticide
2010502 Fongicide
2010504 Herbicide
2010505 Herbicide
2010507 Insecticide
2010508 Herbicide
2010509 Fongicide
2010510 Herbicide
2010512 Fongicide
2010513 Insecticide
2010514 Herbicide
2010516 Insecticide
2010517 Herbicide
2010518 Molluscicide
2010520 Fongicide
