"AMM" "annee" "substance" "classification" "quantite_substance" "usages" "Group_BioC" "Type_BioC" "Substance_BioC"
"1" "1030003" "2013" "polymere_carboxyl_sulfone_cationique" "Autre" 50647,564368 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"2" "1030003" "2015" "polymere_carboxyl_sulfone_cationique" "Autre" 3404,428932 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"3" "1030003" "2016" "polymere_carboxyl_sulfone_cationique" "Autre" 15839,13804 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"4" "1030003" "2009" "polymere_carboxyl_sulfone_cationique" "Autre" 25809,475235988 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"5" "1030003" "2012" "polymere_carboxyl_sulfone_cationique" "Autre" 29496,374652 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"6" "1030003" "2017" "polymere_carboxyl_sulfone_cationique" "Autre" 23711,45292 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"7" "1030003" "2011" "polymere_carboxyl_sulfone_cationique" "Autre" 20535,974711965 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"8" "1030003" "2014" "polymere_carboxyl_sulfone_cationique" "Autre" 4776,39996 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"9" "1030003" "2019" "polymere_carboxyl_sulfone_cationique" "Autre" 30799,81008 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"10" "1030003" "2018" "polymere_carboxyl_sulfone_cationique" "Autre" 25439,30772 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"11" "1030003" "2010" "polymere_carboxyl_sulfone_cationique" "Autre" 6479,950943929 "additif_agronomique_|_Matiere_Fertilisante" NA NA NA
"12" "2000001" "2014" "glyphosate" "N_Organique" 1203,8652 "Herbicide" NA NA NA
"13" "2000001" "2016" "glyphosate" "N_Organique" 182,9448 "Herbicide" NA NA NA
"14" "2000001" "2018" "glyphosate" "N_Organique" 146,1672 "Herbicide" NA NA NA
"15" "2000001" "2015" "glyphosate" "N_Organique" 564,948 "Herbicide" NA NA NA
"16" "2000001" "2019" "glyphosate" "Env_A" 720,648 "Herbicide" NA NA NA
"17" "2000001" "2017" "glyphosate" "N_Organique" 308,826 "Herbicide" NA NA NA
"18" "2000001" "2012" "glyphosate" "N_Organique" 141,156 "Herbicide" NA NA NA
"19" "2000001" "2013" "glyphosate" "N_Organique" 117,612 "Herbicide" NA NA NA
"20" "2000001" "2011" "glyphosate" "N_Organique" 151,704 "Herbicide" NA NA NA
"21" "2000001" "2009" "glyphosate" "N_Organique" 286,128 "Herbicide" NA NA NA
"22" "2000001" "2010" "glyphosate" "N_Organique" 339,876 "Herbicide" NA NA NA
"23" "2000001" "2008" "glyphosate" "N_Organique" 24,57 "Herbicide" NA NA NA
"24" "2000003" "2014" "metazachlore" "N_Organique" 48958,739 "Herbicide" NA NA NA
"25" "2000003" "2013" "metazachlore" "N_Organique" 50431 "Herbicide" NA NA NA
"26" "2000003" "2018" "metazachlore" "T,_T+,_CMR" 51374,965 "Herbicide" NA NA NA
"27" "2000003" "2009" "metazachlore" "Autre" 18574,75 "Herbicide" NA NA NA
"28" "2000003" "2010" "metazachlore" "N_Organique" 23430,75 "Herbicide" NA NA NA
"29" "2000003" "2015" "metazachlore" "T,_T+,_CMR" 42827,25 "Herbicide" NA NA NA
"30" "2000003" "2017" "metazachlore" "T,_T+,_CMR" 50914,324 "Herbicide" NA NA NA
"31" "2000003" "2016" "metazachlore" "T,_T+,_CMR" 41407,278 "Herbicide" NA NA NA
"32" "2000003" "2012" "metazachlore" "N_Organique" 49183,946 "Herbicide" NA NA NA
"33" "2000003" "2019" "metazachlore" "CMR" 57776,8775 "Herbicide" NA NA NA
"34" "2000003" "2008" "metazachlore" "Autre" 13590 "Herbicide" NA NA NA
"35" "2000003" "2011" "metazachlore" "N_Organique" 31156,45 "Herbicide" NA NA NA
"36" "2000006" "2012" "pyrethrines" "N_Organique" 1,5 "Insecticide" NA NA NA
"37" "2000006" "2008" "extrait_de_pyrethre_vegetal" "Autre" 0,3 "Insecticide" NA NA NA
"38" "2000006" "2014" "pyrethrines" "N_Organique" 0,07 "Insecticide" NA NA NA
"39" "2000006" "2013" "pyrethrines" "N_Organique" 4,285 "Insecticide" NA NA NA
"40" "2000006" "2011" "extrait_de_pyrethre_vegetal" "N_Organique" 9,425 "Insecticide" NA NA NA
"41" "2000006" "2009" "extrait_de_pyrethre_vegetal" "Autre" 0,05 "Insecticide" NA NA NA
"42" "2000006" "2010" "extrait_de_pyrethre_vegetal" "N_Organique" 11 "Insecticide" NA NA NA
"43" "2000008" "2016" "imidaclopride" "N_Organique" 2,87 "Non_precise" NA NA NA
"44" "2000009" "2012" "dichlobenil" "Autre" 0,06 "Herbicide" NA NA NA
"45" "2000010" "2018" "propyzamide" "T,_T+,_CMR" 4,28 "Herbicide" NA NA NA
"46" "2000010" "2018" "oxyfluorfene" "T,_T+,_CMR" 5,48 "Herbicide" NA NA NA
"47" "2000010" "2012" "propyzamide" "N_Organique" 819,62 "Herbicide" NA NA NA
"48" "2000010" "2009" "oxyfluorfene" "N_Organique" 1348,628 "Herbicide" NA NA NA
"49" "2000010" "2011" "propyzamide" "N_Organique" 1139,122 "Herbicide" NA NA NA
"50" "2000010" "2011" "oxyfluorfene" "N_Organique" 1458,502 "Herbicide" NA NA NA
"51" "2000010" "2017" "oxyfluorfene" "T,_T+,_CMR" 288,522 "Herbicide" NA NA NA
"52" "2000010" "2010" "propyzamide" "N_Organique" 896,874 "Herbicide" NA NA NA
"53" "2000010" "2008" "propyzamide" "N_Organique" 1319,31 "Herbicide" NA NA NA
"54" "2000010" "2014" "oxyfluorfene" "N_Organique" 802,82 "Herbicide" NA NA NA
"55" "2000010" "2008" "oxyfluorfene" "Autre" 1689,21 "Herbicide" NA NA NA
"56" "2000010" "2009" "propyzamide" "N_Organique" 1053,308 "Herbicide" NA NA NA
"57" "2000010" "2014" "propyzamide" "N_Organique" 627,02 "Herbicide" NA NA NA
"58" "2000010" "2013" "propyzamide" "N_Organique" 1112,907 "Herbicide" NA NA NA
"59" "2000010" "2015" "oxyfluorfene" "N_Organique" 471,28 "Herbicide" NA NA NA
"60" "2000010" "2016" "propyzamide" "T,_T+,_CMR" 9,844 "Herbicide" NA NA NA
"61" "2000010" "2016" "oxyfluorfene" "T,_T+,_CMR" 12,604 "Herbicide" NA NA NA
"62" "2000010" "2012" "oxyfluorfene" "N_Organique" 1049,42 "Herbicide" NA NA NA
"63" "2000010" "2010" "oxyfluorfene" "N_Organique" 1148,334 "Herbicide" NA NA NA
"64" "2000010" "2015" "propyzamide" "T,_T+,_CMR" 368,08 "Herbicide" NA NA NA
"65" "2000010" "2017" "propyzamide" "T,_T+,_CMR" 225,342 "Herbicide" NA NA NA
"66" "2000010" "2013" "oxyfluorfene" "N_Organique" 1424,937 "Herbicide" NA NA NA
"67" "2000011" "2009" "bromoxynil_octanoate" "T,_T+,_CMR" 26,4 "Herbicide" NA NA NA
"68" "2000011" "2011" "bromoxynil_octanoate" "T,_T+,_CMR" 111 "Herbicide" NA NA NA
"69" "2000011" "2015" "bromoxynil_octanoate" "T,_T+,_CMR" 0,2 "Herbicide" NA NA NA
"70" "2000011" "2008" "bromoxynil_octanoate" "T,_T+,_CMR" 9351,88 "Herbicide" NA NA NA
