AMM	Groupe	Intitule_Groupe	Substance_active
2000018	C	Substances_naturelles	Soufre
2000536	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2010099	C	Substances_naturelles	Acides_gras
2010100	C	Substances_naturelles	Acides_gras
2010101	C	Substances_naturelles	Soufre
2010206	A	microorganismes	Isaria_fumosorosea_Apopka_souche_97
2010410	C	Substances_naturelles	Soufre
2010513	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_ABTS_351
2010643	C	Substances_naturelles	Gibberellines_GA4/GA7
2020003	C	Substances_naturelles	Phosphate_ferrique
2020021	C	Substances_naturelles	Laminarine
2020241	A	microorganismes	Bacillus_thuringiensis_subsp._aizawai
2030175	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_SA_11
2030184	C	Substances_naturelles	Soufre
2030259	C	Substances_naturelles	Gibberellines_GA4/GA7
2030466	C	Substances_naturelles	Soufre
2040120	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2040121	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2040336	C	Substances_naturelles	Soufre
2040354	A	microorganismes	Lecanicillium_muscarium_souche_Ve6
2050001	A	microorganismes	Bacillus_subtilis_souche_QST_713
2050030	C	Substances_naturelles	Extrait_de_fenugrec
2060007	C	Substances_naturelles	Soufre
2060034	C	Substances_naturelles	Silicate_d_aluminium
2060042	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2060079	C	Substances_naturelles	6-Benzyladenine_Gibberellines_GA4/GA7
2060125	A	microorganismes	Virus_de_la_mosaique_jaune_de_la_courgette_souche_benigne
2060130	C	Substances_naturelles	Spinosad
2060192	C	Substances_naturelles	Soufre
2070108	C	Substances_naturelles	Heptamaloxyloglucan
2080004	A	microorganismes	Trichoderma_atroviride_I-1237
2080010	C	Substances_naturelles	Huile_de_paraffine
2080019	C	Substances_naturelles	Laminarine
2080056	A	microorganismes	Pseudomonas_chlororaphis_MA342
2080108	A	microorganismes	Candida_oleophila_souche_O
2090019	C	Substances_naturelles	6-Benzyladenine
2090055	C	Substances_naturelles	6-Benzyladenine
2090102	C	Substances_naturelles	Soufre
2090103	C	Substances_naturelles	Soufre
2090105	C	Substances_naturelles	Soufre
2090127	C	Substances_naturelles	Huile_essentielle_d_orange
2090146	C	Substances_naturelles	Pyrethrines_et_Abamectine
2090168	A	microorganismes	Trichoderma_harzianum_Rifai_souches_T-22_et_ITEM-908
2090169	A	microorganismes	Trichoderma_harzianum_Rifai_souches_T-22_et_ITEM-908
2090199	C	Substances_naturelles	Pyrethrines_et_Huile_de_colza
2090200	C	Substances_naturelles	Pyrethrines_et_Huile_de_colza
2100030	C	Substances_naturelles	Phosphate_ferrique
2100036	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2100038	C	Substances_naturelles	Silicate_d_aluminium
2100041	C	Substances_naturelles	Phosphonates_de_potassium
2100059	C	Substances_naturelles	Phosphonates_de_potassium
2100060	C	Substances_naturelles	Phosphonates_de_potassium
2100105	C	Substances_naturelles	Pyrethrines
2100130	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2100162	A	microorganismes	Bacillus_subtilis_souche_QST_713
2100194	C	Substances_naturelles	Huile_de_menthe_verte
2100196	C	Substances_naturelles	Gibberellines_GA4/GA7
2100207	A	microorganismes	Ampelomyces_quisqualis_strain_AQ10
2100236	C	Substances_naturelles	Soufre
2100241	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2100242	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2110009	C	Substances_naturelles	Huile_de_poisson
2110031	C	Substances_naturelles	Phosphate_ferrique
2110033	C	Substances_naturelles	Acide_pelargonique
2110034	C	Substances_naturelles	Soufre
2110040	A	microorganismes	Bacillus_subtilis_souche_QST_713
2110055	A	microorganismes	Metarhizium_anisopliae_var._anisopliae_BIPESCO_5/F52
2110056	C	Substances_naturelles	Acide_pelargonique
2110059	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2110074	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2110075	C	Substances_naturelles	Huile_de_clous_de_girofle
2110079	A	microorganismes	Aureobasidium_pullulans_souche_DSM_14940_et_DSM_14941
2110084	C	Substances_naturelles	Pyrethrines
2110149	C	Substances_naturelles	Huile_de_colza
2110150	C	Substances_naturelles	Huile_de_colza
2110179	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2110195	C	Substances_naturelles	Farine_de_sang
2110196	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2120017	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120030	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120033	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120057	C	Substances_naturelles	Graisse_de_mouton
2120069	A	microorganismes	Bacillus_firmus_I-1582
2120081	A	microorganismes	Cydia_pomonella_granulosis_virus
2120082	A	microorganismes	Aureobasidium_pullulans_souche_DSM_14940_et_DSM_14941
2120105	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120124	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120130	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2120158	C	Substances_naturelles	Silicate_d_aluminium
2120168	C	Substances_naturelles	Soufre
2120173	C	Substances_naturelles	Silicate_d_aluminium
2120176	A	microorganismes	Phlebiopsis_gigantea
2120177	A	microorganismes	Clonostachys_rosea_souche_J1446_(anciennement_Gliocladium_catenulatum_souche_J1446)
2130046	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130064	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130071	C	Substances_naturelles	6-Benzyladenine
2130089	A	microorganismes	Trichoderma_asperellum_souches_ICC012_T25_et_TV1
2130108	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130109	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130112	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2130114	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2130115	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2130125	C	Substances_naturelles	Sulfate_de_fer
2130126	C	Substances_naturelles	Sulfate_de_fer
2130127	C	Substances_naturelles	Sulfate_de_fer
2130128	C	Substances_naturelles	Sulfate_de_fer
2130129	C	Substances_naturelles	Terre_de_diatomee_(Kieselgur)
2130153	C	Substances_naturelles	Acide_acetique
2130175	A	microorganismes	Cydia_pomonella_granulosis_virus
2130272	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130273	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2130277	C	Substances_naturelles	Soufre
2140001	C	Substances_naturelles	Acide_gibberellique
2140021	C	Substances_naturelles	Soufre
