"substance" "annee_N_1" "quantite_substance_N_1" "annee" "quantite_substance"
"1" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835
"2" "1-tetradecanol" "2008" 0 "2009" 896.4266454
"11" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21
"12" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89
"20" "acide_gras_sous_forme_de_sel_d'amine" "2008" 0 "2009" 0.279
"24" "alcool_denature" "2008" 0 "2009" 110.02215
"38" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026
"39" "beflubutamide" "2008" 0 "2009" 1458.6
"41" "benalaxyl-m" "2008" 0 "2009" 4563.63875
"47" "benthiavalicarbe" "2008" 0 "2009" 1896.65875
"56" "brai" "2008" 0 "2009" 858.4212
"107" "cuivre_du_sulfate_tribasique" "2008" 0 "2009" 0.779
"130" "dichlormide" "2008" 0 "2009" 197425.273005
"151" "e7,z9-dodecadienylacetate" "2008" 0 "2009" 29083.528719
"152" "e8,e10-dodecadiene-1-ol" "2008" 0 "2009" 6622.3857874
"157" "ether_d'alkyl_aryl_polyglycol" "2008" 0 "2009" 9.45
"188" "fluopicolide" "2008" 0 "2009" 12.1875
"208" "goudron_vegetal" "2008" 0 "2009" 628.698
"211" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "2008" 0 "2009" 25327.51041005
"212" "hexazinone" "2008" 0 "2009" 18.9
"234" "ioxynil" "2008" 0 "2009" 34197.7154
"251" "mandipropamide" "2008" 0 "2009" 14295.131
"258" "meptyldinocap" "2008" 0 "2009" 11868.99
"285" "oxamyl" "2008" 0 "2009" 6542.5
"289" "paecilomyces_fumosoroseus" "2008" 0 "2009" 0.3
"298" "phosphonate_de_disodium" "2008" 0 "2009" 6552.25
"300" "phosphure_de_magnesium" "2008" 0 "2009" 1649.396
"304" "piperonyl" "2008" 0 "2009" 4132.728
"305" "poix" "2008" 0 "2009" 52.0128
"306" "polybutene" "2008" 0 "2009" 2730.6038825
"307" "polyisobutene" "2008" 0 "2009" 1470.3251675
"308" "polymere_carboxyl_sulfone_cationique" "2008" 0 "2009" 25809.475235988
"311" "procymidone" "2008" 0 "2009" 103.8
"321" "proquinazid" "2008" 0 "2009" 47.2
"336" "pyroxsulame" "2008" 0 "2009" 515.60718
"338" "quinoclamine" "2008" 0 "2009" 43.25
"364" "tembotrione" "2008" 0 "2009" 103.95
"365" "terebenthine" "2008" 0 "2009" 110.02215
"372" "thiodicarbe" "2008" 0 "2009" 8.8
"387" "valifenalate" "2008" 0 "2009" 15.84
"388" "verticillium_lecanii_(spores)" "2008" 0 "2009" 11.27
"21" "1-dodecanol" "2009" 0 "2010" 4833.886617363
"16" "acide_acetique" "2009" 0 "2010" 2304.639999595
"22" "acide_nonanoique" "2009" 0 "2010" 4456.598485
"23" "acide_phosphoreux" "2009" 0 "2010" 3475.08
"76" "chlorantraniliprole" "2009" 0 "2010" 243.86105
"99" "clopyralid_(sous_forme_de_sel_de_monoethanolamine)" "2009" 0 "2010" 51052.633
"101" "clothianidine" "2009" 0 "2010" 0.5
"103" "composition_complexe" "2009" 0 "2010" 5.33
"150" "dimoxystrobine" "2009" 0 "2010" 3154.177
"196" "fluorure_de_sulfuryle" "2009" 0 "2010" 14827.286
"223" "huile_blanche_paraffinique" "2009" 0 "2010" 1.25
"227" "huile_de_pin" "2009" 0 "2010" 19.44
"232" "huile_essentielle_d'orange_douce" "2009" 0 "2010" 7.2
"233" "huile_essentielle_de_menthe_verte" "2009" 0 "2010" 432.25
"282" "methoxyfenozide" "2009" 0 "2010" 277.536
"3061" "pethoxamide" "2009" 0 "2010" 582
"317" "pinoxaden" "2009" 0 "2010" 430.375
"323" "poudre_de_corne" "2009" 0 "2010" 0.1599
"360" "sel_de_potassium_de_l'hydrazide_maleique" "2009" 0 "2010" 1.4103375
"368" "spirodiclofen" "2009" 0 "2010" 3.216
"374" "sulfosate" "2009" 0 "2010" 0.0936
"384" "terpenes_d'huile_essentielle_d'orange" "2009" 0 "2010" 33.75
"400" "trichoderma_harzianum" "2009" 0 "2010" 11.98875
"407" "tritosulfuron" "2009" 0 "2010" 64.4966
"411" "virus_zymv-wk" "2009" 0 "2010" 3e-07
"13" "(z)-8-dodecenol" "2010" 0 "2011" 0.004
"34" "ametoctradine" "2010" 0 "2011" 16945.6584
"42" "bacillus_subtilis" "2010" 0 "2011" 2030.9887
"55" "bicarbonate_de_potassium" "2010" 0 "2011" 909.5
"60" "bixafen" "2010" 0 "2011" 664.65
"122" "cyflufenamid" "2010" 0 "2011" 218.9
"1301" "cyprosulfamide" "2010" 0 "2011" 401.346
"164" "emamectine_benzoate" "2010" 0 "2011" 644.867885
"2111" "fluxapyroxad" "2010" 0 "2011" 1542.9875
"224" "heptamaloxyloglucan" "2010" 0 "2011" 222.3893
"226" "hexazinone" "2010" 0 "2011" 10.8
"245" "hypochlorite_de_sodium" "2010" 0 "2011" 11.96
"290" "metirame" "2010" 0 "2011" 62134.0808
"327" "poivre" "2010" 0 "2011" 0.48
"369" "sels_de_potassium_d'acides_gras" "2010" 0 "2011" 15.1232925
"378" "spirotetramat" "2010" 0 "2011" 330.2
"399" "thiencarbazone-methyl" "2010" 0 "2011" 172.6
"121" "acequinocyl" "2011" 0 "2012" 919.712
"231" "acide_pelargonique" "2011" 0 "2012" 5161.99887142
"241" "acide_phosphorique" "2011" 0 "2012" 2.7
"36" "aminopyralid" "2011" 0 "2012" 0.66
"391" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9
"106" "colophane_traitee_au_maleate" "2011" 0 "2012" 307.47472
"134" "decane-1-ol" "2011" 0 "2012" 99635.535
"176" "farine_de_sang" "2011" 0 "2012" 0.998
"217" "gamma-cyhalothrine" "2011" 0 "2012" 3
"238" "huile_minerale_blanche" "2011" 0 "2012" 827.4042
"252" "ipconazole" "2011" 0 "2012" 15.711
"316" "phosphonate_de_potassium" "2011" 0 "2012" 132999.3935
"331" "profoxydim" "2011" 0 "2012" 183
"3651" "sedaxane" "2011" 0 "2012" 3803.7564
"373" "spinetoram" "2011" 0 "2012" 65.175
"6" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403
"15" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578
"25" "acide_gibberellique" "2012" 0 "2013" 1.5246
"44" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75
"45" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75
"48" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25
"761" "butraline" "2012" 0 "2013" 2.544
"142" "dichlorvos" "2012" 0 "2013" 3.900002
"200" "fluopyram" "2012" 0 "2013" 2.775
"213" "forchlorfenuron" "2012" 0 "2013" 2.16
"220" "gliocladium_catenulatum_j_1446" "2012" 0 "2013" 241.6
"225" "graisse_de_mouton" "2012" 0 "2013" 60.8
"2321" "huile_de_girofle" "2012" 0 "2013" 188
"243" "huiles_empyreumatiques" "2012" 0 "2013" 1
"267" "liant_cellulosique" "2012" 0 "2013" 0.23501
"302" "nitrate_de_potassium" "2012" 0 "2013" 0.074
