"substance" "annee_N_1" "quantite_substance_N_1" "annee.x" "quantite_substance.x" "annee.y" "quantite_substance.y"
"1" "(e)-5-decen-1-yl_acetate" "2016" 0 "2017" 1.5730848 "2018" 35.44664475
"2" "(e)-5-decen-1-yl_acetate" "2016" 0 "2017" 1.5730848 "2019" 92.631147
"3" "(e)-5-decen-1-yl_acetate" "2016" 0 "2017" 1.5730848 "2017" 1.5730848
"4" "(e,z)-2,13-octadecadienyl_acetate" "2017" 0 "2018" 67.090137 "2019" 75.44724
"5" "(e,z)-2,13-octadecadienyl_acetate" "2017" 0 "2018" 67.090137 "2018" 67.090137
"6" "(e,z)-3,13-octadecadienyl_acetate" "2017" 0 "2018" 1.646823 "2019" 1.85196
"7" "(e,z)-3,13-octadecadienyl_acetate" "2017" 0 "2018" 1.646823 "2018" 1.646823
"8" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2015" 23.465054
"9" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2017" 20.329204
"10" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2012" 22.493682
"11" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2013" 19.437384
"12" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2016" 25.0308
"13" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2019" 26.505579
"14" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2014" 21.595712
"15" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2018" 22.015072
"16" "(z)-8-dodecenol" "2010" 0 "2011" 0.004 "2011" 0.004
"17" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2011" 175602.9727915
"18" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2014" 7828.914804
"19" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2009" 1557561.993835
"20" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2012" 13986.272854
"21" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2016" 5607.1313355
"22" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2015" 7777.888552
"23" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2017" 8753.3783485
"24" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2010" 139738.5098565
"25" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2013" 10505.886313
"26" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2019" 7584.023783
"27" "(z)-9-dodecenylacetate" "2008" 0 "2009" 1557561.993835 "2018" 9710.5772305
"28" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2013" 4307.04163633
"29" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2010" 4833.886617363
"30" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2015" 14453.617416
"31" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2018" 1844.283191
"32" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2017" 1657.25647
"33" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2014" 3635.895686
"34" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2011" 4770.663521055
"35" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2012" 4482.077750278
"36" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2016" 2439.593322
"37" "1-dodecanol" "2009" 0 "2010" 4833.886617363 "2019" 2006.866661
"38" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538 "2019" 7.50126
"39" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538 "2016" 5.08908
"40" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538 "2015" 4.40538
"41" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538 "2018" 5.88126
"42" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538 "2017" 6.36378
"43" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2014" 830.453309
"44" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2012" 1027.705846009
"45" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2009" 896.4266454
"46" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2015" 3341.618812
"47" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2017" 372.807221
"48" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2011" 1106.909039202
"49" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2018" 418.295518
"50" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2010" 1121.588071339
"51" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2013" 990.058750179
"52" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2019" 457.659479
"53" "1-tetradecanol" "2008" 0 "2009" 896.4266454 "2016" 553.197067
"54" "1,4-dimethylnaphtalene" "2017" 0 "2018" 2442.365016 "2018" 2442.365016
"55" "1,4-dimethylnaphtalene" "2017" 0 "2018" 2442.365016 "2019" 9164.632386
"56" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2017" 9.380126
"57" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2018" 18.360048
"58" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2016" 15.3774648
"59" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2015" 10.0727384
"60" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2013" 5.8154403
"61" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2014" 9.09532
"62" "1,5-diaminopentane" "2012" 0 "2013" 5.8154403 "2019" 13.173232
"63" "8-hydroxiquinoline" "2016" 0 "2017" 435 "2017" 435
"64" "8-hydroxiquinoline" "2016" 0 "2017" 435 "2018" 1510
"65" "8-hydroxiquinoline" "2016" 0 "2017" 435 "2019" 847.5
"66" "acequinocyl" "2011" 0 "2012" 919.712 "2014" 757.68
"67" "acequinocyl" "2011" 0 "2012" 919.712 "2015" 1072.642
"68" "acequinocyl" "2011" 0 "2012" 919.712 "2012" 919.712
"69" "acequinocyl" "2011" 0 "2012" 919.712 "2013" 570.72
"70" "acequinocyl" "2011" 0 "2012" 919.712 "2016" 892.816
"71" "acequinocyl" "2011" 0 "2012" 919.712 "2018" 656.82
"72" "acequinocyl" "2011" 0 "2012" 919.712 "2019" 551.86
"73" "acequinocyl" "2011" 0 "2012" 919.712 "2017" 1007.78
"74" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2018" 4475.2617
"75" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2017" 2286.4057125
"76" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2016" 3748.257045
"77" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2019" 3210.9753
"78" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2014" 2216.98425
"79" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2015" 2455.229985
"80" "acetate_d'ammonium" "2012" 0 "2013" 1417.513578 "2013" 1417.513578
"81" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2019" 157.007862
"82" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2012" 255.358291
"83" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2013" 369.6228776
"84" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2009" 562.21
"85" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2011" 608.8545496
"86" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2018" 129.841221
"87" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2014" 1342.333746
"88" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2017" 119.538947
"89" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2015" 138.296112
"90" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2010" 618.76958
"91" "acetate_de_e-8-dodecenyle" "2008" 0 "2009" 562.21 "2016" 147.513045
"92" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2016" 2397.33003
"93" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2012" 3259.191502
"94" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2013" 4140.9580384
"95" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2014" 13019.055667
"96" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2009" 5059.89
"97" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2011" 5479.9169464
"98" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2015" 2247.099534
"99" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2010" 5568.92622
"100" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2019" 2517.684759
"101" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2017" 1953.959174
"102" "acetate_de_z-8-dodecenyle" "2008" 0 "2009" 5059.89 "2018" 2105.881182
"103" "acetochlore" "2018" 0 "2019" 3.2 "2014" 17840.2
"104" "acetochlore" "2018" 0 "2019" 3.2 "2009" 1181024.34
"105" "acetochlore" "2018" 0 "2019" 3.2 "2013" 390436.456
"106" "acetochlore" "2018" 0 "2019" 3.2 "2012" 1154268.56
"107" "acetochlore" "2018" 0 "2019" 3.2 "2019" 3.2
"108" "acetochlore" "2018" 0 "2019" 3.2 "2017" 24
"109" "acetochlore" "2018" 0 "2019" 3.2 "2008" 1072411.12
"110" "acetochlore" "2018" 0 "2019" 3.2 "2011" 1068393.872
"111" "acetochlore" "2018" 0 "2019" 3.2 "2010" 1081282.24
"112" "acetochlore" "2018" 0 "2019" 3.2 "2015" 334
"113" "acetochlore" "2016" 0 "2017" 24 "2014" 17840.2
"114" "acetochlore" "2016" 0 "2017" 24 "2009" 1181024.34
"115" "acetochlore" "2016" 0 "2017" 24 "2013" 390436.456
"116" "acetochlore" "2016" 0 "2017" 24 "2012" 1154268.56
"117" "acetochlore" "2016" 0 "2017" 24 "2019" 3.2
"118" "acetochlore" "2016" 0 "2017" 24 "2017" 24
"119" "acetochlore" "2016" 0 "2017" 24 "2008" 1072411.12
"120" "acetochlore" "2016" 0 "2017" 24 "2011" 1068393.872
"121" "acetochlore" "2016" 0 "2017" 24 "2010" 1081282.24
"122" "acetochlore" "2016" 0 "2017" 24 "2015" 334
"123" "acide_2,5-dichlorobenzoique" "2017" 0 "2018" 4.1069 "2019" 4.3344
"124" "acide_2,5-dichlorobenzoique" "2017" 0 "2018" 4.1069 "2018" 4.1069
"125" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2015" 4675.871
"126" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2014" 3823.2621
"127" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2016" 7811.135
"128" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2010" 2304.639999595
"129" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2013" 5844.325
"130" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2011" 6563.957000063
"131" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2012" 6379.174
"132" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2018" 25250.32068
"133" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2019" 45052.72114
"134" "acide_acetique" "2009" 0 "2010" 2304.639999595 "2017" 17112.277
"135" "acide_blue_9" "2018" 0 "2019" 7.976 "2008" 31.35565
"136" "acide_blue_9" "2018" 0 "2019" 7.976 "2019" 7.976
"137" "acide_blue_9" "2018" 0 "2019" 7.976 "2011" 85.99125
"138" "acide_blue_9" "2018" 0 "2019" 7.976 "2015" 0.997
"139" "acide_blue_9" "2018" 0 "2019" 7.976 "2016" 0.997
"140" "acide_blue_9" "2018" 0 "2019" 7.976 "2013" 11.964
"141" "acide_blue_9" "2018" 0 "2019" 7.976 "2012" 25.922
"142" "acide_blue_9" "2018" 0 "2019" 7.976 "2014" 1.994
"143" "acide_blue_9" "2018" 0 "2019" 7.976 "2010" 118.1445
"144" "acide_blue_9" "2018" 0 "2019" 7.976 "2009" 208.8715
"145" "acide_decanoique" "2014" 0 "2015" 10.9205712 "2016" 1442.8799352
"146" "acide_decanoique" "2014" 0 "2015" 10.9205712 "2017" 2308.5207684
"147" "acide_decanoique" "2014" 0 "2015" 10.9205712 "2015" 10.9205712
"148" "acide_decanoique" "2014" 0 "2015" 10.9205712 "2019" 2451.687103
"149" "acide_decanoique" "2014" 0 "2015" 10.9205712 "2018" 1659.61506744
"150" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2013" 1.5246
"151" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2009" 763.5871
"152" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2012" 0
"153" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2018" 879.289311
"154" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2017" 677.47498
"155" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2015" 429.50116
"156" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2014" 385.413485
"157" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2019" 1499.233886
"158" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2016" 830.79008
"159" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2010" 1281.0996
"160" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2011" 4118.7136
"161" "acide_gibberellique" "2012" 0 "2013" 1.5246 "2008" 751.7012
"162" "acide_gras_sous_forme_de_sel_d'amine" "2008" 0 "2009" 0.279 "2009" 0.279
"163" "acide_halauxifene" "2015" 0 "2016" 14.166 "2016" 14.166
"164" "acide_halauxifene" "2015" 0 "2016" 14.166 "2019" 962.11953
"165" "acide_halauxifene" "2015" 0 "2016" 14.166 "2017" 1034.98422
"166" "acide_halauxifene" "2015" 0 "2016" 14.166 "2018" 1907.333352
"167" "acide_nonanoique" "2009" 0 "2010" 4456.598485 "2011" 5171.7907834
"168" "acide_nonanoique" "2009" 0 "2010" 4456.598485 "2010" 4456.598485
"169" "acide_octanoique" "2014" 0 "2015" 16.3808568 "2017" 3462.7811526
"170" "acide_octanoique" "2014" 0 "2015" 16.3808568 "2019" 3677.530648
"171" "acide_octanoique" "2014" 0 "2015" 16.3808568 "2016" 2164.3199028
"172" "acide_octanoique" "2014" 0 "2015" 16.3808568 "2018" 2489.42260116
"173" "acide_octanoique" "2014" 0 "2015" 16.3808568 "2015" 16.3808568
"174" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2018" 368390.6648022
"175" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2013" 8638.85362258
