reg cheflieu tncc ncc nccenr libelle
01 97105 3 GUADELOUPE Guadeloupe Guadeloupe
02 97209 3 MARTINIQUE Martinique Martinique
03 97302 3 GUYANE Guyane Guyane
04 97411 0 LA_REUNION La_RÇ¸union La_RÇ¸union
06 97608 0 MAYOTTE Mayotte Mayotte
11 75056 1 ILE_DE_FRANCE Ile-de-France Ile-de-France
24 45234 2 CENTRE_VAL_DE_LOIRE Centre-Val_de_Loire Centre-Val_de_Loire
27 21231 0 BOURGOGNE_FRANCHE_COMTE Bourgogne-Franche-Comté Bourgogne-Franche-Comté
28 76540 0 NORMANDIE Normandie Normandie
32 59350 4 HAUTS_DE_FRANCE Hauts-de-France Hauts-de-France
44 67482 2 GRAND_EST Grand_Est Grand_Est
52 44109 4 PAYS_DE_LA_LOIRE Pays_de_la_Loire Pays_de_la_Loire
53 35238 0 BRETAGNE Bretagne Bretagne
75 33063 3 NOUVELLE_AQUITAINE Nouvelle-Aquitaine Nouvelle-Aquitaine
76 31555 1 OCCITANIE Occitanie Occitanie
84 69123 1 AUVERGNE_RHONE_ALPES Auvergne-Rhône-Alpes Auvergne-Rhône-Alpes
93 13055 0 PROVENCE_ALPES_COTE_D_AZUR Provence-Alpes-Côte_d'Azur Provence-Alpes-Côte_d'Azur
94 2A004 0 CORSE Corse Corse
