code_departement;cereales
1;46,6
2;61,9
3;26
4;10,9
5;10,3
6;0,3
7;7,2
8;45,2
9;21,3
10;69,6
11;30,8
12;12,9
13;21
14;38,7
15;3,1
16;49,5
17;63,2
18;63,3
19;5,4
21;55,6
22;42,6
23;12,4
24;30
25;10,5
26;33,9
27;65,4
28;84,9
29;36,3
2A;0,2
2B;1,2
30;13,6
31;62,3
32;65,8
33;18,1
34;9,2
35;34,9
36;54,9
37;68,7
38;37,1
39;25,2
40;62,6
41;73
42;10,8
43;15,7
44;24,8
45;76,3
46;13,4
47;58,9
48;6,5
49;38,7
50;16,5
51;66,7
52;52,3
53;32,2
54;55,4
55;61,2
56;40,2
57;49,6
58;34,7
59;43,5
60;69,6
61;36,6
62;49
63;23
64;34,7
65;39,8
66;2,2
67;56,3
68;61,9
69;20,9
70;39,1
71;21,8
72;52,4
73;5,6
74;8,8
75;0
76;42,9
77;79,3
78;79,4
79;53,8
80;58,6
81;45,4
82;52,9
83;4,9
84;11,5
85;42,1
86;65,8
87;15
88;22,6
89;72,2
90;34,2
91;79,8
92;0
93;78,6
94;63
95;74,9
