code_departement;vignes
1;0,3
2;0,6
3;0,1
4;0,5
5;0,2
6;0,5
7;8,8
8;0
9;0,1
10;1,9
11;29,5
12;0,1
13;8,2
14;0
15;0
16;12,7
17;10,9
18;1
19;0,1
21;2,2
22;0
23;0
24;3,9
25;
26;8,8
27;
28;0
29;0
2A;1,7
2B;5,5
30;33,7
31;0,4
32;4,8
33;50,1
34;44,7
35;0
36;0,1
37;3
38;0,2
39;1,1
40;0,9
41;2,4
42;0,4
43;0
44;2,5
45;0
46;2,3
47;2,4
48;0
49;4,5
50;0
51;4,4
52;0
53;
54;0
55;0
56;0
57;0
58;0,5
59;0
60;0
61;
62;0
63;0,1
64;0,9
65;0,4
66;29,2
67;3,4
68;6,7
69;11,5
70;0,1
71;2,7
72;
73;1,5
74;0,2
75;0
76;0
77;0
78;0
79;0,2
80;0
81;2,4
82;1,3
83;39,1
84;44,4
85;0,3
86;0,3
87;0
88;0
89;2
90;
91;
92;0
93;
94;
95;
